iso3,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SUR,4422276621.787026,4980000000.0,5145757575.757576,5240606060.606061,5126291450.815114,3317438910.830684,3591623596.0308237,3996247906.1976547,4221373022.257978,3807922874.483055
SVK,99122802874.17175,94534730680.60231,98848641554.63107,101189715749.3738,88467555243.72557,89655253976.42577,95209466459.43996,105474651206.55484,105119160234.11748,104574146248.36449
SVN,51516366654.81972,46580457470.27691,48401896808.30635,49930685013.460335,43090173394.69132,44736333522.45219,48466592281.61547,54135187443.81362,54174227308.886185,52880473699.8803
SWE,574094112972.7327,552483727282.8025,586841821796.8911,581964017237.0946,505103781349.7569,515654671469.54694,541018749769.0971,555455371487.0894,531283304459.66693,537609865719.0188
SWZ,4820499497.321342,4886658806.333739,4597702903.128917,4422304974.798898,4062660889.826852,3816018484.5271115,4402972999.5348625,4665424249.061563,4471598726.643599,3962493092.993076
SYC,1065826669.8974235,1060226125.6261593,1328157608.8308716,1343007845.0446773,1377495054.041265,1426651768.8218865,1524486800.3604898,1586008999.7484095,1581380268.6428902,1124937500.0
TCA,728789600.0,727161000.0,754238000.0,841070000.0,942070000.0,1032452000.0,1022365000.0,1113178000.0,1197415000.0,924583000.0
TCD,12172309522.61715,12367363677.619883,12953535495.878109,13940768065.606321,10950392219.910398,10097778353.765135,10000395242.14566,11239167048.49162,11314951342.780731,10093118570.291842
TGO,3872459249.746312,3873308389.300063,4321655656.331773,4574986536.90791,4180866177.03946,6031632168.173909,6395472574.414452,7112200725.002317,7220395247.742405,7574635241.301908
THA,370819140946.5527,397558222957.1696,420333203150.4264,407339454060.67773,401296437424.99493,413366150655.59094,456356961443.497,506611070188.3615,544263968873.6005,501794961925.2437
TJK,6522732202.5074835,7633049792.093209,8448469837.538307,9112544556.059624,8271454300.59548,6992393787.408911,7536439875.083337,7765014424.337792,8300784856.87904,8194150301.785524
TKM,29233333333.333332,35164210526.31579,39197543859.649124,43524210526.31579,35799714285.71429,36169428571.42857,37926285714.28571,40765428571.42857,45231428571.42857,
TLS,1054725400.0,1147779600.0,1395524600.0,1447311400.0,1594410800.0,1650608600.0,1599338100.0,1559894900.0,2017924900.0,1821000000.0
TON,414523388.4613285,470714083.42675084,450643615.18052834,439878828.00860786,437006227.1627811,420540178.5714286,460379144.98982126,489235527.39538705,512350059.4216295,
TTO,25433011405.30167,25763220107.005104,27268478564.554684,27615843098.0949,24959858249.443348,22386264807.31744,22385426653.88303,23679919654.98907,23208326547.532684,21529824769.296856
TUN,45810626509.447365,45044138549.20289,46251074044.43897,47632390881.781235,43173531810.76672,41801284916.20112,39802554352.318756,39770478673.16483,39195716330.4253,39235672868.2722
TUR,838762755164.1791,880556375779.51,957783020853.0308,938952628604.0668,864316670330.8823,869692960365.5509,858996263095.8582,778377023568.884,761428183369.1707,720101212394.1141
TUV,38711810.2114492,37671774.69455374,37509075.111025296,37290607.535604835,35492074.22432575,36547799.58370502,40619251.99264255,42588164.97310221,47271463.32985749,48855550.20301425
TZA,34657139495.403145,39650530214.328705,45680532613.759094,49964788814.092636,47378599025.30442,49774021003.07476,53320625958.56281,57003713748.231606,61136873747.33235,62409748426.5824
UGA,27752046902.446014,27188667092.778103,28791625085.114323,32472362948.832996,32248116472.511463,29078589751.459583,30744473839.74368,32912338571.34034,35170037380.86296,37372032557.594376
UKR,163159671670.26456,175781379051.43286,183310146378.0808,133503411375.73927,91030959454.6961,93355993628.50423,112190355158.17812,130901858421.72018,153929501862.34137,155582008717.42557
URY,47962439303.724724,51264390116.49089,57531233350.91009,57236013086.122345,53274304222.136024,57236652490.169945,64233966861.25176,64515038268.13733,61231149880.58566,53628827440.35817
USA,15542581104000.0,16197007349000.0,16784849196000.0,17527163695000.0,18238300569000.0,18745075687000.0,19542979183000.0,20611860934000.0,21433224697000.0,20936600000000.0
UZB,56516280748.37771,63628854498.50244,68997168337.67822,76658542757.47073,81847410181.7953,81779012350.88333,59159945320.56675,50392607758.23237,57726542784.920425,57707189945.42145
VCT,676129629.6296296,692933333.3333333,721207407.4074074,727714814.8148148,755400000.0,774429629.6296296,792177777.7777777,811300000.0,824718518.5185184,809681481.4814814
VNM,135539438559.70941,155820001920.49164,171222025117.38086,186204652922.26215,193241108709.53622,205276172134.9014,223779865815.18256,245213686369.1568,261921244843.1723,271158442059.0824
VUT,770153304.1538317,747839697.7465929,758304466.2453394,772315721.2658272,730870581.6723125,780889605.899977,880043553.7484418,914727908.1377933,930337960.0374784,854793640.1456058
WSM,737401692.217475,760549587.1360278,770021663.9677886,756919917.3340222,788307330.5556701,799376439.5301678,832153612.5571855,821496064.5261846,852250190.9854852,807027244.4213804
XKX,6701698218.262806,6499807272.260054,7074777526.896002,7396705194.632655,6442915788.30578,6719172016.825327,7245707184.816991,7942961738.308928,7953156068.069861,7611402165.242166
ZAF,416418874936.30444,396332702639.4963,366829390478.9538,350904575292.3168,317620522794.82697,296357282715.1093,349554116683.81793,368288939768.32227,351431649241.43854,301923639269.5517
ZMB,23459515275.577595,25503060420.026028,28037239462.71422,27141023558.08286,21251216798.776245,20958412538.309345,25873601260.835304,26311637646.653854,23308688906.12878,19320053859.279003
ZWE,14101920300.0,17114849900.000002,19091020000.0,19495519600.0,19963120600.0,20548678100.0,19015327919.108746,19523622341.613316,16932434838.692844,16768513442.641468
