iso3,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BHS,10070450000.0,10720500000.0,10568400000.0,11111600000.0,11710800000.0,11928500000.0,12490700000.0,13022100000.0,13578800000.0,11250000000.0
BIH,18644723860.97093,17226849297.07003,18178503835.44905,18558343508.34351,16211541820.243834,16913330693.965273,18080118128.385387,20183510561.25528,20202479537.519318,19788422248.10716
BLR,61757788944.72362,65685102554.875854,75527984234.23424,78813839984.35056,56454734396.5842,47722657820.66747,54726595249.18491,60031262269.33648,64409647193.804375,60258239055.582886
BLZ,1460797903.23406,1522897506.07849,1579411253.005135,1667335060.96064,1721700991.46912,1789304087.785615,1858529676.71857,1915899786.96407,1982518540.6134,1763696118.9519
BMU,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7224329000.0,7484113000.0,
BOL,23963033429.436356,27084497481.910275,30659338885.672935,32996188017.366135,33000198248.914616,33941126193.921852,37508642170.767006,40287647930.53545,40895322850.94067,36688861202.60492
BRA,2616200980392.1567,2465188674415.032,2472806919901.6743,2455993625159.3706,1802214373741.3206,1795700168991.4932,2063507864886.8806,1916947014067.5461,1877810514260.3599,1444733258971.6514
BRB,4657500000.0,4610000000.0,4677000000.0,4696500000.0,4715000000.0,4830000000.0,4978000000.0,5086500000.0,5209000000.0,4365500000.0
BRN,18525319977.740677,19047940300.896286,18093829923.273655,17098342541.436466,12930394937.81366,11400854267.718817,12128104859.14983,13567351175.031507,13469422941.391878,12016056665.347322
BTN,1777101316.6775587,1781281281.5791247,1756215665.0932288,1907090813.459065,2003598212.9913535,2158972129.00307,2450364928.0730205,2446866404.9305816,2530547157.566781,2409262838.219875
BWA,15351972361.14767,14380004175.119429,14901750991.20123,16250781586.657902,14420593484.055683,15646354089.458042,17405588070.43315,18663265549.019608,18362348887.587276,15781732825.893402
CAF,2437982706.575185,2510126509.994769,1691544110.6916294,1894813389.8817933,1695825714.2427304,1825018144.4619353,2072349974.1525702,2220979144.5201836,2220307318.7488565,2303078337.574305
CAN,1793326630174.5186,1828366481521.5952,1846597421834.9834,1805749878439.9412,1556508816217.1401,1527994741907.425,1649265644244.095,1721853332869.631,1741576393905.9792,1643407977068.9272
CHE,722038242134.6195,692109693986.8864,712748124222.61,734396591036.9315,702149580770.9009,695600652899.283,704478516963.8549,735889205256.251,731474367940.4292,747968636174.0084
CHL,252251992029.4417,267122320056.7022,278384332694.359,260541637327.86392,243919079437.3728,250440149690.8891,277034675515.6713,297571693064.2119,279385487344.5257,252940023046.01126
CHN,7551500124197.168,8532229986993.647,9570406235659.64,10475682920597.715,11061553079871.54,11233276536744.676,12310409370894.242,13894817549380.291,14279937467430.953,14722730697890.1
CIV,25414875503.07842,26789047554.598778,31273074527.69753,35363533865.72715,45814637971.47452,47964234560.05141,51588158717.53482,58011466450.8643,58539424929.72483,61348579465.101654
CMR,29375448542.446598,29102772799.003754,32357345500.98846,34989493826.217865,30928653813.85382,32643697595.837772,35009262788.15004,38694156862.9922,39007354359.27982,39802147568.21743
COD,25839749198.823307,29306235826.38855,32679745297.645332,35909040265.93278,37917704900.07938,37134799974.52249,38019265625.88453,46831342212.54731,50400746171.42387,49868970641.10624
COG,15634897272.764456,17693924573.24988,17953617927.293335,17889079957.930077,11885478502.053009,10158508345.310392,11109029840.247892,13642740884.135555,12693562947.785587,10884686142.644192
COL,334943871931.7454,370921320483.8405,382116126448.554,381112119657.4446,293481748240.7788,282825009887.45795,311883730690.12946,334198214706.20874,323429888934.2568,271346896626.4178
COM,1023086272.696221,1015843491.246346,1116224107.1711571,1149587659.745018,966029599.801228,1012835492.5157499,1077439756.1222107,1178530633.815469,1165839899.8026922,1219690024.5028675
CPV,1865915544.124455,1741809808.9644227,1850470042.4328146,1859898513.2685812,1596800287.1640487,1662998677.8842537,1769787215.421407,1966983316.3259299,1981845740.7061462,1703698676.6974154
CRI,42762617081.652214,47231651864.8284,50949672205.91684,52016408950.89364,56441917652.98117,58847016044.73625,60516043590.1832,62335931464.49788,63951114302.259895,61520669890.403656
CUB,68990000000.0,73141000000.0,77148000000.0,80656000000.0,87133000000.0,91370000000.0,96851000000.0,100050000000.0,103131000000.0,
CUW,3038699608.9385476,3131096089.3854747,3147616201.117318,3158406033.519553,3151910782.122905,3122287932.9608936,3116610111.7318435,3127908044.6927376,3101787709.4972067,
CYM,4186223808.952358,4291159006.3602543,4405954638.185527,4563017880.715228,4708336733.469338,4909498979.959198,5166467298.691947,5522625585.0234,5935769350.774031,
CYP,27565469097.995544,24978513426.699215,23900872625.846725,23156850006.64275,19842404304.892933,20953442550.365288,22729184365.115227,25309818138.875767,24949065263.629242,23804340376.92747
CZE,229562733398.9475,208857719320.6487,211685616592.9311,209358834156.32904,188033050459.8811,196272068576.3383,218628940951.67508,248950103352.13702,250686478649.0641,243530379896.81284
DEU,3744408602683.935,3527344944139.8257,3732743446218.9185,3883920155292.2583,3356235704119.753,3467498002104.3276,3673506280844.3994,3961831911429.222,3861123558039.2095,3806060140124.524
DJI,1239144501.7752545,1353632941.520698,2042817162.8563871,2214681573.569329,2430287967.026784,2603554906.594643,2751461055.5930676,3012820409.6331306,3324634256.1332436,3384404260.0720234
DMA,501025925.9259259,485996296.29629624,498296296.29629624,520207407.40740734,540737037.037037,576229629.6296296,519837037.037037,551074074.074074,574607407.4074074,469870370.3703703
DNK,344003137611.2712,327148943812.1366,343584391647.92706,352993631617.708,302673070846.85724,313115929314.3386,332121063806.3906,356879499797.8963,350104327658.67487,355184024841.25415
